id,speaker,nonstopwords,pos,neg,st_pos,st_neg,pt_pos,pt_neg,sb_pos,sb_neg
0,lehrer,164,14,3,5,13,10,2,10,2
1,obama,187,16,10,20,22,11,9,12,9
2,lehrer,5,0,0,0,0,0,0,0,0
3,romney,195,25,12,23,28,20,9,20,9
4,lehrer,13,1,3,2,3,1,3,1,3
5,obama,206,14,8,13,23,14,12,15,12
6,lehrer,22,1,0,1,4,2,1,2,1
7,romney,301,20,10,29,39,25,19,27,19
8,obama,103,9,6,11,9,6,4,6,4
9,lehrer,2,1,0,1,0,1,0,1,0
10,obama,79,8,3,15,9,8,4,8,4
11,lehrer,12,4,0,4,2,4,0,4,0
12,romney,10,2,1,1,1,2,1,2,1
13,lehrer,2,1,0,1,0,1,0,1,0
14,romney,181,16,4,27,30,15,12,15,12
15,lehrer,8,1,1,1,0,1,0,1,0
16,obama,204,14,4,17,18,16,8,16,8
17,lehrer,2,1,0,1,0,1,0,1,0
18,romney,6,1,0,1,2,2,0,2,0
19,lehrer,4,2,0,2,0,2,0,2,0
20,romney,4,0,0,0,0,0,0,0,0
21,lehrer,10,1,2,1,0,1,0,1,0
22,romney,2,1,0,1,0,1,0,1,0
23,lehrer,22,2,3,0,5,4,3,4,3
24,romney,149,11,2,8,24,8,12,8,14
25,obama,140,16,5,15,17,11,2,11,2
26,romney,9,0,0,1,0,0,0,0,0
27,lehrer,8,1,0,0,1,1,0,1,0
28,romney,129,8,4,20,21,9,6,9,6
29,lehrer,36,1,1,1,7,1,3,1,3
30,romney,119,13,2,21,11,17,3,17,3
31,obama,2,0,0,0,0,1,0,1,0
32,romney,99,7,1,10,7,9,0,9,0
33,lehrer,5,0,0,0,0,0,0,0,0
34,obama,219,11,6,15,23,12,4,12,4
35,lehrer,4,0,1,0,1,0,0,0,0
36,obama,6,1,0,3,1,2,0,2,0
37,lehrer,4,0,0,0,0,0,0,0,0
38,obama,2,0,1,0,1,0,0,0,0
39,lehrer,7,1,0,1,0,1,0,1,0
40,romney,5,0,0,0,0,0,0,0,0
41,lehrer,5,1,1,2,1,1,1,1,1
42,romney,14,0,1,1,3,0,1,0,1
43,obama,12,1,0,1,0,1,0,1,0
44,romney,158,9,6,10,18,9,4,9,4
45,lehrer,8,0,0,0,0,1,0,1,0
46,obama,3,1,0,0,0,1,0,1,0
47,lehrer,8,0,0,0,2,0,0,1,0
48,obama,11,0,0,0,3,0,0,0,0
49,romney,58,0,3,2,6,0,2,0,2
50,lehrer,11,1,0,0,1,0,0,1,0
51,obama,254,23,8,29,28,19,9,19,9
52,romney,11,0,0,0,1,0,0,0,0
53,lehrer,3,0,0,0,0,1,0,1,0
54,romney,30,0,0,0,3,0,2,0,2
55,obama,3,0,0,1,0,1,0,1,0
56,romney,108,9,4,8,13,9,6,9,6
57,lehrer,1,0,0,0,0,0,0,0,0
58,romney,104,9,4,9,11,16,3,16,3
59,lehrer,2,0,0,0,0,0,0,0,0
60,romney,11,3,0,3,2,2,0,2,0
61,lehrer,28,3,0,2,5,2,0,2,0
62,obama,191,30,5,12,24,17,9,18,9
63,lehrer,10,1,0,0,2,0,0,0,0
64,romney,196,16,7,15,16,13,7,13,8
65,lehrer,3,0,0,0,0,0,0,0,0
66,obama,27,5,0,4,2,5,1,5,1
67,lehrer,2,1,0,1,0,1,0,1,0
68,obama,2,0,0,0,0,0,0,0,0
69,romney,2,0,0,0,0,0,0,0,0
70,obama,2,0,0,1,0,1,0,1,0
71,romney,5,1,0,2,1,1,0,1,0
72,obama,162,22,4,23,14,25,6,25,7
73,lehrer,10,1,0,2,1,4,0,4,0
74,romney,14,1,0,1,1,1,0,1,0
75,lehrer,2,0,0,0,0,0,0,0,0
76,romney,153,15,4,12,14,13,6,13,8
77,obama,83,12,2,14,6,11,2,11,3
78,romney,5,0,0,0,1,0,0,0,0
79,obama,3,0,0,0,0,0,0,0,0
80,lehrer,6,0,0,0,0,0,0,0,0
81,obama,2,0,1,0,1,0,0,0,0
82,lehrer,4,0,0,0,0,0,0,0,0
83,romney,4,0,0,0,0,0,0,0,0
84,lehrer,3,0,0,0,0,0,0,0,0
85,romney,13,1,0,2,1,1,0,1,1
86,lehrer,2,1,0,1,0,1,0,1,0
87,romney,8,1,0,0,1,2,0,2,0
88,lehrer,4,0,0,0,0,0,0,0,0
89,romney,12,2,0,1,1,2,0,2,1
90,lehrer,9,1,0,2,0,1,0,2,0
91,romney,2,0,0,0,0,0,0,0,0
92,lehrer,2,0,0,0,1,0,0,0,0
93,romney,2,0,0,0,0,0,0,0,0
94,obama,2,0,0,0,0,0,0,0,0
95,lehrer,30,2,0,4,3,4,0,4,0
96,romney,31,4,3,5,3,4,2,4,2
97,lehrer,4,0,1,1,0,0,0,0,0
98,romney,4,0,0,0,1,0,0,0,0
99,lehrer,2,0,0,0,0,1,0,1,0
100,romney,62,4,5,5,5,4,3,4,3
101,lehrer,5,1,0,1,0,1,0,1,0
102,romney,20,4,2,2,2,2,2,2,2
103,lehrer,3,1,0,0,0,1,0,1,0
104,romney,5,0,0,0,0,0,0,0,0
105,lehrer,9,2,0,5,2,2,0,2,0
106,obama,149,16,10,15,19,16,8,17,8
107,romney,119,18,9,15,16,15,7,16,7
108,lehrer,37,3,0,7,0,6,0,8,0
109,romney,182,13,8,18,21,24,4,24,9
110,lehrer,228,17,16,20,27,20,12,20,12
111,romney,180,8,3,10,17,12,5,12,5
112,obama,250,18,5,18,26,33,4,33,6
113,lehrer,1,0,0,0,0,0,0,0,0
114,obama,4,1,0,1,0,1,0,1,0
115,lehrer,3,0,0,0,0,0,0,0,0
116,romney,2,1,0,0,0,1,0,1,0
117,lehrer,4,0,0,0,0,0,0,0,0
118,romney,177,25,10,13,25,22,9,23,13
119,obama,178,19,6,24,16,23,6,23,6
120,lehrer,3,0,0,0,0,1,0,1,0
121,romney,2,0,0,1,0,0,0,0,0
122,lehrer,1,0,0,0,0,0,0,0,0
123,romney,164,4,6,6,16,12,10,12,10
124,lehrer,28,1,0,0,3,0,1,0,1
125,obama,5,1,0,1,0,1,0,1,0
126,lehrer,2,0,0,0,0,0,0,0,0
127,obama,186,30,4,19,14,26,5,27,5
128,lehrer,7,0,0,0,1,0,0,0,0
129,romney,177,28,6,14,21,21,4,21,4
130,lehrer,2,1,0,1,0,1,0,1,0
131,romney,8,0,0,1,1,1,0,1,0
132,lehrer,17,2,0,1,2,1,0,1,0
133,romney,76,7,2,4,5,8,1,8,1
134,lehrer,11,1,0,0,1,0,0,0,0
135,obama,20,5,0,4,0,4,0,4,0
136,lehrer,9,0,0,1,1,0,0,0,0
137,obama,83,6,1,7,4,5,1,5,1
138,lehrer,3,0,0,0,0,0,0,0,0
139,obama,127,13,2,11,10,10,3,10,3
140,lehrer,7,0,0,0,1,1,0,1,0
141,romney,158,19,1,22,18,15,3,16,3
142,lehrer,22,1,3,2,3,1,2,1,2
143,obama,4,1,0,0,0,1,0,1,0
144,lehrer,46,2,2,1,8,4,3,4,3
145,romney,34,1,0,3,3,5,1,5,1
146,lehrer,2,0,0,0,0,0,0,0,0
147,romney,63,8,2,5,14,7,3,7,3
148,lehrer,2,1,0,1,0,1,0,1,0
149,romney,22,2,2,1,4,4,2,4,2
150,lehrer,3,0,0,0,0,0,0,0,0
151,obama,139,14,9,16,22,11,9,11,9
152,lehrer,2,1,0,1,0,1,0,1,0
153,obama,23,2,1,1,3,1,0,1,0
154,lehrer,18,0,0,1,0,0,0,0,0
155,obama,190,30,6,22,24,20,6,22,6
156,lehrer,6,0,0,0,0,0,0,0,0
157,romney,205,18,6,23,19,25,8,25,9
158,lehrer,27,2,1,5,2,6,1,6,1
